stop_id1,stop_id2,walking_time
176,8503086,571
176,8503086:0:1,571
176,8503086:0:112,571
176,8503086:0:2,571
176,8503086:0:212,571
176,8503087,553
176,8503087:0:1,553
176,8503087:0:103,553
176,8503087:0:2,553
176,8503087:0:203,553
176,8591329,596
176,8591365,570
176,Parent8503086,571
176,Parent8503087,553
8500926,8590616,173
8500926,8590737,435
8502075,8503016:0,186
8502075,8503016:0:1,186
8502075,8503016:0:2,186
8502075,8503016:0:3,186
8502075,8503016:0:3AB,186
8502075,8503016:0:4,186
8502075,8503016P,186
8502075,8573205,77
8502075,8573205:0,77
8502075,8573205:0:A,77
8502075,8573205:0:D,77
8502075,8573205:0:E,77
8502075,8573205:0:F,77
8502075,8573205:0:J,77
8502075,8573205:0:K,77
8502075,8573205:0:L,77
8502075,8573205:0:M,77
8502075,8573205:0:N,77
8502075,8573205:0:O,77
8502075,8573205:0:P,77
8502075,8573205:0:Q,77
8502075,8573205:0:R,77
8502075,8573205:0:T,77
8502075,8573205P,77
8502075,8580301,296
8502075,Parent8503016,186
8502075,Parent8573205,77
8502185,8502248,504
8502185,8502272,590
8502185,8502272:0,564
8502185,8502272:0:1/2,564
8502185,8502878,532
8502185,8572570,428
8502185,8572643,549
8502185,8581308,207
8502186,8502186:0,7
8502186,8502186:0:1/2,7
8502186,8502186P,7
8502186,8502270,374
8502186,Parent8502186,0
8502186:0,8502186,7
8502186:0,8502186:0:1/2,0
8502186:0,8502186P,0
8502186:0,8502270,368
8502186:0,Parent8502186,7
8502186:0:1/2,8502186,7
8502186:0:1/2,8502186:0,0
8502186:0:1/2,8502186P,0
8502186:0:1/2,8502270,368
8502186:0:1/2,Parent8502186,7
8502186P,8502186,7
8502186P,8502186:0,0
8502186P,8502186:0:1/2,0
8502186P,8502270,368
8502186P,Parent8502186,7
8502187,8502187:0,12
8502187,8502187:0:1/2,12
8502187,8502187P,12
8502187,Parent8502187,0
8502187:0,8502187,12
8502187:0,8502187:0:1/2,0
8502187:0,8502187P,0
8502187:0,Parent8502187,12
8502187:0:1/2,8502187,12
8502187:0:1/2,8502187:0,0
8502187:0:1/2,8502187P,0
8502187:0:1/2,Parent8502187,12
8502187P,8502187,12
8502187P,8502187:0,0
8502187P,8502187:0:1/2,0
8502187P,Parent8502187,12
8502188,8502188:0,5
8502188,8502188:0:1/2,5
8502188,8502188P,5
8502188,8502274,305
8502188,8502275,541
8502188,8576164,546
8502188,Parent8502188,0
8502188:0,8502188,5
8502188:0,8502188:0:1/2,0
8502188:0,8502188P,0
8502188:0,8502274,300
8502188:0,8502275,546
8502188:0,8576164,541
8502188:0,Parent8502188,5
8502188:0:1/2,8502188,5
8502188:0:1/2,8502188:0,0
8502188:0:1/2,8502188P,0
8502188:0:1/2,8502274,300
8502188:0:1/2,8502275,546
8502188:0:1/2,8576164,541
8502188:0:1/2,Parent8502188,5
8502188P,8502188,5
8502188P,8502188:0,0
8502188P,8502188:0:1/2,0
8502188P,8502274,300
8502188P,8502275,546
8502188P,8576164,541
8502188P,Parent8502188,5
8502207:0,8502207:0:1,0
8502207:0,8595330,28
8502207:0:1,8502207:0,0
8502207:0:1,8595330,28
8502208,8502208:0,0
8502208,8502208:0:2,0
8502208,8502208:0:3,0
8502208,8502208:0:4,0
8502208,8502208P,0
8502208,8573553,266
8502208,8573554,50
8502208,8573555,457
8502208,8579192,417
8502208,8589111,358
8502208,8590655,371
8502208,8594182,411
8502208,Parent8502208,0
8502208:0,8502208,0
8502208:0,8502208:0:2,0
8502208:0,8502208:0:3,0
8502208:0,8502208:0:4,0
8502208:0,8502208P,0
8502208:0,8573553,266
8502208:0,8573554,50
8502208:0,8573555,457
8502208:0,8579192,417
8502208:0,8589111,358
8502208:0,8590655,371
8502208:0,8594182,411
8502208:0,Parent8502208,0
8502208:0:2,8502208,0
8502208:0:2,8502208:0,0
8502208:0:2,8502208:0:3,0
8502208:0:2,8502208:0:4,0
8502208:0:2,8502208P,0
8502208:0:2,8573553,266
8502208:0:2,8573554,50
8502208:0:2,8573555,457
8502208:0:2,8579192,417
8502208:0:2,8589111,358
8502208:0:2,8590655,371
8502208:0:2,8594182,411
8502208:0:2,Parent8502208,0
8502208:0:3,8502208,0
8502208:0:3,8502208:0,0
8502208:0:3,8502208:0:2,0
8502208:0:3,8502208:0:4,0
8502208:0:3,8502208P,0
8502208:0:3,8573553,266
8502208:0:3,8573554,50
8502208:0:3,8573555,457
8502208:0:3,8579192,417
8502208:0:3,8589111,358
8502208:0:3,8590655,371
8502208:0:3,8594182,411
8502208:0:3,Parent8502208,0
8502208:0:4,8502208,0
8502208:0:4,8502208:0,0
8502208:0:4,8502208:0:2,0
8502208:0:4,8502208:0:3,0
8502208:0:4,8502208P,0
8502208:0:4,8573553,266
8502208:0:4,8573554,50
8502208:0:4,8573555,457
8502208:0:4,8579192,417
8502208:0:4,8589111,358
8502208:0:4,8590655,371
8502208:0:4,8594182,411
8502208:0:4,Parent8502208,0
8502208P,8502208,0
8502208P,8502208:0,0
8502208P,8502208:0:2,0
8502208P,8502208:0:3,0
8502208P,8502208:0:4,0
8502208P,8573553,266
8502208P,8573554,50
8502208P,8573555,457
8502208P,8579192,417
8502208P,8589111,358
8502208P,8590655,371
8502208P,8594182,411
8502208P,Parent8502208,0
8502209,8502209:0,0
8502209,8502209:0:1,0
8502209,8502209:0:2,0
8502209,8502209P,0
8502209,8503203:0,287
8502209,8503203:0:1,287
8502209,8503203:0:2,287
8502209,8503203P,287
8502209,8503673,596
8502209,8579186,315
8502209,8590734,52
8502209,8590735,473
8502209,8590736,458
8502209,Parent8502209,0
8502209,Parent8503203,287
8502209:0,8502209,0
8502209:0,8502209:0:1,0
8502209:0,8502209:0:2,0
8502209:0,8502209P,0
8502209:0,8503203:0,287
8502209:0,8503203:0:1,287
8502209:0,8503203:0:2,287
8502209:0,8503203P,287
8502209:0,8503673,596
8502209:0,8579186,315
8502209:0,8590734,52
8502209:0,8590735,473
8502209:0,8590736,458
8502209:0,Parent8502209,0
8502209:0,Parent8503203,287
8502209:0:1,8502209,0
8502209:0:1,8502209:0,0
8502209:0:1,8502209:0:2,0
8502209:0:1,8502209P,0
8502209:0:1,8503203:0,287
8502209:0:1,8503203:0:1,287
8502209:0:1,8503203:0:2,287
8502209:0:1,8503203P,287
8502209:0:1,8503673,596
8502209:0:1,8579186,315
8502209:0:1,8590734,52
