,allstops.stop_id,allstops.stop_name,allstops.latitude,allstops.longitude,allstops.location_type,allstops.parent_station,center_dist
2152,1103922,"Riedern (Klettg), Unterriedern",47.624084,8.447586,,,28.250286663889405
2153,1103923,"Riedern (Klettg), Oberriedern",47.62153,8.454432,,,27.850591539287706
2154,1103924,"Dettighofen (D), Eichberg",47.62681,8.465912,,,28.238382889804434
2155,1103925,"Dettighofen (D), Kirchholz",47.626915,8.468266,,,28.21520470595475
2156,1103926,"Bühl (D), Säge",47.617073,8.46805,,,27.144090731944537
2219,1103998,"Balm (Kr WT), Ortseingang",47.63476,8.592718,,,28.835806214570784
2220,1103999,"Baltersweil, Neue Welt",47.634575,8.508016,,,28.64495236611786
2221,1104000,"Baltersweil, Rathaus",47.636948,8.510136,,,28.89520411581165
2222,1104001,"Baltersweil, Zollhaus",47.638874,8.518643,,,29.066070456878972
2228,1104008,Bechtersbohl,47.603977,8.347209,,,29.041963303317527
2237,1104018,"Bergöschingen, Abzw Bercherhof",47.588203,8.412157,,,25.2937178493976
2238,1104019,Bergöschingen,47.595497,8.421526,,,25.792736228324443
2295,1104089,"Bühl (D), Abzweigung",47.619644,8.461699,,,27.52348224683662
2296,1104090,"Bühl (D), Dorf",47.61463,8.46381,,,26.94419110438231
2297,1104091,"Bühl (D), Notburgastrasse",47.616707,8.468499,,,27.09740459766895
2301,1104096,"Dangstetten, Dorfplatz",47.597054,8.324912,,,29.274776061369142
2302,1104097,"Dangstetten, Kindergarten",47.59705,8.320142,,,29.475246088319764
2303,1104098,"Dangstetten, Römerhof",47.595528,8.318022,,,29.426005555802718
2305,1104101,"Detighofen-Berwangen, Ort",47.628365,8.501342,,,28.00433531032673
2306,1104102,"Dettighofen (D), Löwen",47.62382,8.48351,,,27.676643458709147
2307,1104103,"Dettighofen (D), Rathaus",47.625084,8.4887295,,,27.757958408828404
2355,1104155,"Geisslingen, Bürgerhaus",47.62002,8.3900585,,,29.203818472688674
2356,1104156,"Geisslingen, Klettgauer Hof",47.61932,8.3947115,,,28.997543210439378
2378,1104179,"Griessen, Linde",47.625797,8.414016,,,29.159704453244085
2379,1104180,"Griessen, Rathaus",47.626305,8.414914,,,29.191198785233745
2380,1104181,"Griessen, Schule",47.624756,8.411141,,,29.121858716764233
2381,1104182,"Griessen, Siedlung",47.627026,8.405643,,,29.50006963455678
2396,1104198,Günzgen,47.58521,8.45957,,,23.834617281964654
2423,1104227,"Hohentengen, Herdern",47.574837,8.455204,,,22.81021426875888
2460,1104265,"Hohentengen, Engelhof",47.57525,8.409615,,,24.045012120482877
2461,1104266,"Hohentengen, GMS",47.57049,8.430734,,,22.943175154115515
2462,1104267,"Hohentengen, Klausen",47.5693,8.42627,,,22.943432615371282
2463,1104268,"Hohentengen, Löwen",47.570583,8.435531,,,22.825342531231303
2464,1104270,"Hohentengen, Gewerbegebiet",47.57212,8.441469,,,22.83620934566046
2465,1104271,"Hohentengen, Guggenmühle",47.579636,8.401341,,,24.748545511933603
2466,1104272,"Hohentengen, Kath. Pfarramt",47.569,8.433339,,,22.718123449595232
2467,1104273,"Hohentengen, Kh. Boller",47.57101,8.434453,,,22.898111468946627
2468,1104275,"Hohentengen, Abz Bergöschingen",47.579502,8.402805,,,24.68853376883335
2490,1104300,"Jestetten, Osterfingerstrasse",47.63711,8.545098,,,28.826650003252343
2493,1104303,"Jestetten, Säge",47.646793,8.562454,,,29.949235423679188
2494,1104304,"Jestetten, Zollamt Wangental",47.64545,8.532378,,,29.758511868131173
2504,1104314,"Küssaberg, Bechtersbohl Abzw",47.612743,8.349104,,,29.821281849365164
2505,1104315,"Küssaberg, Küssaburg",47.60104,8.359084,,,28.317202798089482
2506,1104316,"Küssaberg, Küssnach",47.59401,8.364249,,,27.443898519327153
2545,1104360,Lienheim,47.573334,8.376674,,,24.977954266497758
2546,1104362,"Lienheim, Schule",47.572903,8.375658,,,24.974181598479024
2547,1104363,"Lottstetten, Abzw.Nacker Mühle",47.615177,8.579522,,,26.548764041593856
2548,1104365,"Lottstetten, Post",47.628384,8.573288,,,27.964411192568267
2549,1104366,"Lottstetten, Grundschule",47.63141,8.577096,,,28.32668478020394
2550,1104367,"Lottstetten, Hauptstrasse",47.62843,8.5751915,,,27.982675055382522
2551,1104368,"Lottstetten, Industriegebiet",47.630737,8.580114,,,28.27543693345243
2552,1104369,"Lottstetten, Kindergarten",47.62722,8.57441,,,27.843062252780452
2573,1104394,"Lottstetten, Nack Ortsmitte",47.607235,8.578022,,,25.657571722833087
2616,1104439,"Reckingen (WT), L161",47.57455,8.331758,,,26.920791281045137
2617,1104440,"Reckingen (WT), Oberdorf",47.575726,8.331515,,,27.037854477951466
2618,1104441,"Reckingen (WT), Gemeindehalle",47.573456,8.329969,,,26.901213743139767
2619,1104442,"Reckingen (WT), Weissbuckhöfe",47.58191,8.327383,,,27.779359215909967
2622,1104445,"Rheinheim, Färberweg",47.588726,8.303838,,,29.441085741819155
2623,1104446,"Rheinheim, Friedhof",47.591087,8.306183,,,29.544870668327853
2625,1104448,"Rheinheim, Hardtweg",47.585518,8.30982,,,28.88425747350065
2626,1104450,"Rheinheim, Kindergarten",47.588284,8.3026705,,,29.45534216040522
2627,1104451,"Rheinheim, Kreuzung",47.589478,8.306047,,,29.407531769573733
2628,1104452,"Rheinheim, Ortsmitte",47.588688,8.305104,,,29.38005840055
2651,1104475,"Riedern (Klettg), Sternen",47.624935,8.445305,,,28.384930554643994
2699,1104528,"Hohentengen, Stetten",47.59017,8.439403,,,24.791787897330575
2700,1104529,"Hohentengen, Stetten Schule",47.589993,8.4421425,,,24.710482568829967
2891,1104738,"Griessen (Baden), Bahnhof",47.627956,8.397299,,,29.81869957866435
3101,1105017,"Lottstetten, Bahnhofstrasse",47.626095,8.570152,,,27.690344624420494
