,index,0-20,20-40,40-60,60-80,80-100,100-120,120-140,140-160,160-180,180-200
0,Mon - bus 6h-9h,0.1900836582735835,0.32597086014196863,0.49738088789178087,0.6359817454274136,0.7585561920920701,0.8427357328658963,0.9048636273041798,0.9483587749198935,0.9785207254812778,1.0
1,Mon - bus 9h-16h,0.18632535188148877,0.32159711108375394,0.49113627969961837,0.6313605400303665,0.7546985924740449,0.8411326890721819,0.9043123435512331,0.9487309696745866,0.9790102178997907,1.0
2,Mon - bus 16-21h,0.20620321982606749,0.3409136561062431,0.5023527978372042,0.6314652546586714,0.7479559142652982,0.8299333840444414,0.8931477438496317,0.939640609718751,0.9738969510769525,1.0
3,Mon - tram 6h-9h,0.3255839100346021,0.49390138408304496,0.6737456747404844,0.7794766435986159,0.8624567474048442,0.9134515570934256,0.9485510380622837,0.9725562283737024,0.9887975778546713,1.0
4,Mon - tram 9h-16h,0.3598688161115987,0.5379278488613792,0.7167167074691672,0.8133401080881334,0.8884567416508846,0.9318952376553189,0.960497020647605,0.9792138204997921,0.9916208600859162,1.0
5,Mon - tram 16-21h,0.3797592184381807,0.5449411089517002,0.7118838613745158,0.8043095464802327,0.8760483650071087,0.9221959904522155,0.9543088943091552,0.9757392359163656,0.9904000417389489,1.0
6,Mon - zug 6h-9h,0.24968394437420985,0.3918457648546144,0.5400758533501896,0.665802781289507,0.7646017699115044,0.8382427307206068,0.8989886219974715,0.9417193426042983,0.9742098609355246,1.0
7,Mon - zug 9h-16h,0.34778203723986856,0.5230284775465498,0.6786692223439211,0.7906900328587075,0.8666757940854326,0.9170591456736035,0.9499178532311062,0.9723439211391018,0.9885542168674699,1.0
8,Mon - zug 16-21h,0.28538011695906434,0.43444633088096585,0.5874740614978305,0.7071495944161479,0.7966421429918883,0.8645538577626863,0.91262026032824,0.9499717034521789,0.9779286926994907,1.0
9,Tue - bus 6h-9h,0.1835610441254264,0.3156515447243453,0.48345828545022285,0.6234958622912145,0.7483689340459556,0.8359083806084043,0.9004517733471966,0.9457507159665092,0.9774052522451858,1.0
10,Tue - bus 9h-16h,0.17085367823375203,0.29908867270490885,0.4622485618795582,0.6014698025768136,0.726350218047635,0.8190608421235728,0.889019344738902,0.9389932535688993,0.9743250462807659,1.0
11,Tue - bus 16-21h,0.19166879938577688,0.3174925621421031,0.47389551809078984,0.6036221568188361,0.7216041779967369,0.8095108608720688,0.8791308103266259,0.9306639687769922,0.9700726190857033,1.0
12,Tue - tram 6h-9h,0.299636944151196,0.4698612148209182,0.6467028864227412,0.7572418054947602,0.8441692200736411,0.9009192265108016,0.940005664701187,0.9681489301439349,0.987228673687463,1.0
13,Tue - tram 9h-16h,0.32255280999607777,0.49305765674903346,0.6715750546310304,0.7778001905082087,0.8613436431893315,0.9142825124670813,0.9489213873480137,0.9735417717263406,0.9892418893931754,1.0
14,Tue - tram 16-21h,0.3587696791155881,0.5208749089296462,0.6853875637492477,0.7828882764737559,0.8585954575691342,0.908850454559853,0.9441699135227597,0.9685450917038867,0.9866324558902722,1.0
15,Tue - zug 6h-9h,0.24570078972617906,0.39360838438261125,0.5421802347036682,0.671267252195734,0.7716436637390214,0.8448593992176544,0.9037567348143775,0.947745221049524,0.977562919772677,1.0
