,index,0-20,20-40,40-60,60-80,80-100,100-120,120-140,140-160,160-180,180-200
0,Mon - bus 6h-9h,37195,26590,33541,27121,23985,16472,12157,8511,5902,4203
1,Mon - bus 9h-16h,72649,52743,66104,54674,48090,33701,24634,17319,11806,8184
2,Mon - bus 16-21h,62620,40909,49026,39209,35376,24895,19197,14119,10403,7927
3,Mon - tram 6h-9h,15055,7783,8316,4889,3837,2358,1623,1110,751,518
4,Mon - tram 9h-16h,38954,19274,19353,10459,8131,4702,3096,2026,1343,907
5,Mon - tram 16-21h,29115,12664,12799,7086,5500,3538,2462,1643,1124,736
6,Mon - zug 6h-9h,3950,2249,2345,1989,1563,1165,961,676,514,408
7,Mon - zug 9h-16h,12701,6400,5684,4091,2775,1840,1200,819,592,418
8,Mon - zug 16-21h,7564,3951,4056,3172,2372,1800,1274,990,741,585
9,Tue - bus 6h-9h,30189,21724,27598,23031,20537,14397,10615,7450,5206,3716
10,Tue - bus 9h-16h,55006,41285,52529,44822,40205,29848,22523,16089,11375,8266
11,Tue - bus 16-21h,47931,31465,39112,32441,29504,21983,17410,12887,9855,7484
12,Tue - tram 6h-9h,11637,6611,6868,4293,3376,2204,1518,1093,741,496
13,Tue - tram 9h-16h,28783,15215,15930,9479,7455,4724,3091,2197,1401,960
14,Tue - tram 16-21h,22652,10235,10387,6156,4780,3173,2230,1539,1142,844
15,Tue - zug 6h-9h,3329,2004,2013,1749,1360,992,798,596,404,304
16,Tue - zug 9h-16h,10697,5260,4792,3432,2166,1467,988,625,468,332
17,Tue - zug 16-21h,6205,3244,3212,2657,2027,1471,1116,807,626,480
18,Wed - bus 6h-9h,30295,21807,27777,22891,20214,14162,10406,7087,5052,3444
19,Wed - bus 9h-16h,51879,39037,50453,44138,39937,30078,22960,16684,12024,8752
20,Wed - bus 16-21h,46353,30959,38252,32030,28879,21615,17224,12744,9588,7408
21,Wed - tram 6h-9h,12171,6672,6843,4130,3309,2116,1451,1006,645,446
22,Wed - tram 9h-16h,28572,15338,16223,9587,7450,4741,3183,2150,1440,1001
23,Wed - tram 16-21h,21799,10232,10395,6110,4898,3073,2264,1645,1178,801
24,Wed - zug 6h-9h,3364,1960,2048,1756,1316,1015,677,480,419,324
25,Wed - zug 9h-16h,10179,5152,4687,3462,2230,1569,1030,698,479,341
26,Wed - zug 16-21h,6262,3390,3172,2720,1969,1463,1111,820,659,454
27,Thu - bus 6h-9h,30363,21840,27524,22709,20121,13881,10097,7106,4958,3617
28,Thu - bus 9h-16h,53055,39754,51427,44443,40778,29900,22823,16429,11628,8235
29,Thu - bus 16-21h,46406,31178,38482,32549,29535,22076,17442,13039,9706,7489
30,Thu - tram 6h-9h,12112,6750,6802,4104,3263,2050,1426,937,649,454
31,Thu - tram 9h-16h,28859,15398,16072,9418,7536,4598,3090,2101,1384,975
32,Thu - tram 16-21h,21845,10217,10431,6128,4872,3270,2301,1624,1206,941
33,Thu - zug 6h-9h,3487,2056,2031,1685,1290,947,750,544,382,319
34,Thu - zug 9h-16h,10526,5238,4830,3393,2310,1506,1042,684,493,324
35,Thu - zug 16-21h,6262,3319,3266,2543,1963,1481,1069,771,596,470
36,Fri - bus 6h-9h,33224,23173,28761,22962,19906,13361,9517,6427,4355,2970
37,Fri - bus 9h-16h,49373,37878,48816,42671,39596,29861,23120,16995,12399,9065
38,Fri - bus 16-21h,46120,31363,38221,32250,29335,21806,17377,12966,9755,7443
39,Fri - tram 6h-9h,13006,6810,6774,3918,3135,1905,1282,904,556,355
40,Fri - tram 9h-16h,27650,14809,15476,9358,7430,4840,3180,2192,1462,1060
41,Fri - tram 16-21h,21773,9869,10142,5961,4662,3149,2235,1619,1190,960
42,Fri - zug 6h-9h,3580,2053,2091,1638,1261,945,690,486,327,247
43,Fri - zug 9h-16h,10259,5172,4650,3613,2293,1468,1067,666,479,345
44,Fri - zug 16-21h,5940,3247,3174,2613,1985,1501,1181,854,638,451
45,Sat - bus 6h-9h,27154,17504,19507,14767,11715,6416,4322,2541,1401,899
46,Sat - bus 9h-16h,52001,37703,46650,40301,35683,25420,19384,13736,9593,6685
47,Sat - bus 16-21h,36588,25962,31703,26143,23214,16633,12422,8922,6387,4687
48,Sat - tram 6h-9h,9693,4542,4399,2148,1437,661,458,267,140,78
49,Sat - tram 9h-16h,31252,15258,15280,8289,6312,3814,2477,1727,1080,776
50,Sat - tram 16-21h,18895,10128,10591,6361,5153,3479,2493,1747,1216,881
51,Sat - zug 6h-9h,5115,2288,1960,1290,754,416,276,182,104,70
52,Sat - zug 9h-16h,11436,5053,4535,3129,1961,1230,824,503,348,238
53,Sat - zug 16-21h,7628,3489,3137,2209,1447,972,632,394,316,235
54,Sun - bus 6h-9h,17417,10774,12160,8785,6889,3579,2409,1287,753,524
55,Sun - bus 9h-16h,43255,30157,36334,29850,25762,16491,12023,8261,5456,3755
56,Sun - bus 16-21h,28776,20211,24196,19935,17604,11684,9045,6428,4306,3020
57,Sun - tram 6h-9h,8457,3485,3163,1482,950,411,255,126,63,44
58,Sun - tram 9h-16h,21787,10891,11362,6410,4808,2629,1721,1063,691,469
59,Sun - tram 16-21h,15357,7864,8138,4933,3633,2191,1431,1035,670,491
60,Sun - zug 6h-9h,5013,2140,1781,1055,648,366,215,154,95,69
61,Sun - zug 9h-16h,11414,4732,4121,2700,1676,983,622,401,293,191
62,Sun - zug 16-21h,7321,3342,2948,1997,1346,780,521,401,258,171
