,stop_id1,stop_id2,distance,latitude1,longitude1,latitude2,longitude2
0,176,8591413,5.302326083931527,47.351677,8.521957,47.39435,8.484085
1,8502220:0:1,Parent8503100,15.562295153268064,47.39088,8.4347315,47.337337,8.569739
2,8502221:0,8590612,22.143132947356815,47.35743,8.437552,47.372246,8.636214
3,8502221:0,8591286,10.998393483961646,47.35743,8.437552,47.33293,8.534947
4,8502222:0:2,8503100:0:3,11.336783823669954,47.325905,8.468194,47.337337,8.569739
5,8502222:0:3,8503310:0,12.817118576407324,47.325905,8.468194,47.43083,8.558851
6,8502222:0:3,8506638,15.255101501730348,47.325905,8.468194,47.34635,8.604531
7,8502229P,8587654,15.805747023371923,47.38097,8.430339,47.43451,8.567628
8,8502229P,Parent8503147,18.497525358277493,47.38097,8.430339,47.397213,8.596141
9,8502572,Parent8503340,6.971023454134532,47.370293,8.513918,47.429955,8.561798
10,8502950,8502572,8.63154559547911,47.353935,8.437175,47.370293,8.513918
11,8503000:0,8591145,3.268393629561756,47.378178,8.540212,47.37593,8.510891
12,8503000:0:10,8591261,6.201606240455715,47.378178,8.540212,47.359863,8.594523
13,8503000:0:12,8580438,8.19271095416046,47.378178,8.540212,47.453625,8.593257
14,8503000:0:12,8591175,3.0065430273517464,47.378178,8.540212,47.410706,8.5558605
15,8503000:0:14,8573205:0:P,6.018765540927441,47.378178,8.540212,47.45016,8.563747
16,8503000:0:17,8576152,7.499026176843188,47.378178,8.540212,47.45278,8.584858
17,8503000:0:17,8576186,5.4322928958322425,47.378178,8.540212,47.33985,8.581525
18,8503000:0:18,8590826,6.747014028936055,47.378178,8.540212,47.293346,8.559265
19,8503000:0:31,8505333,1.0904601516926107,47.378178,8.540212,47.365444,8.544856
20,8503000:0:33,8591237,0.7471101724322521,47.378178,8.540212,47.38796,8.5391245
21,8503000:0:33AB,8503001:0,5.792453871009295,47.378178,8.540212,47.391483,8.488963
22,8503000:0:33AB,8591212,4.4266903618935585,47.378178,8.540212,47.348118,8.574366
23,8503000:0:34AB,8503006:0:7,2.550213427558271,47.378178,8.540212,47.41153,8.544137
24,8503000:0:34AB,8579434,7.9217335577756876,47.378178,8.540212,47.337715,8.474545
25,8503000:0:4,8573731,7.481903826026189,47.378178,8.540212,47.349396,8.475892
26,8503000:0:4,8590791,8.982134270222575,47.378178,8.540212,47.397606,8.460603
27,8503000:0:41/42,8591043,4.020205100396989,47.378178,8.540212,47.399628,8.507145
28,8503000:0:43/44,8574780,8.01156920680116,47.378178,8.540212,47.358368,8.469505
29,8503000:0:43/44,8580522,2.1992881754076525,47.378178,8.540212,47.390797,8.522398
30,8503000:0:5,8503306:0:1,9.352758885962617,47.378178,8.540212,47.4202,8.619272
31,8503000P,8590692,3.501835160065012,47.378178,8.540212,47.331985,8.543283
32,8503000P,8591327,0.4398690275656296,47.378178,8.540212,47.373947,8.542933
33,8503001:0,8590594,14.586907181347256,47.391483,8.488963,47.404278,8.619713
34,8503001:0,8590772,9.207738120388457,47.391483,8.488963,47.30704,8.5486555
35,8503001P,8591358,1.2076758717307348,47.391483,8.488963,47.407444,8.489968
36,8503003:0:1,8595717,4.540140372669058,47.36661,8.548485,47.31295,8.530051
37,8503003:0:2,8502221P,12.36838843558657,47.36661,8.548485,47.35743,8.437552
38,8503003:0:3,Parent8503054,5.91320854376831,47.36661,8.548485,47.364994,8.495377
39,8503003P,8591068,7.412986239928443,47.36661,8.548485,47.396355,8.48501
40,8503004:0,8590768,9.214328007592668,47.350124,8.561385,47.46149,8.526998
41,8503004:0:2,Parent8503015,4.811916494263894,47.350124,8.561385,47.39304,8.529378
42,8503004:0:3,8591165,8.40868353887087,47.350124,8.561385,47.386967,8.490086
43,8503006:0:2,8503093:0:1,6.186026106030701,47.41153,8.544137,47.337933,8.519631
44,8503006:0:3,8591401,6.281585549757922,47.41153,8.544137,47.365967,8.496895
45,8503006:0:5,8590880,5.738274281735838,47.41153,8.544137,47.418526,8.595467
46,8503006:0:5,8591240,1.7766486046985663,47.41153,8.544137,47.395912,8.532181
47,8503006:0:6,8590750,4.144593145120596,47.41153,8.544137,47.428318,8.579594
48,8503007:0:3,8503087:0:103,5.2449078909676965,47.41875,8.544659,47.357796,8.521967
